epoch,train_loss,train_acc,test_acc,lr
1,2.3325,0.3561,0.4530,0.001000
2,1.6870,0.5209,0.5271,0.001000
3,1.4877,0.5746,0.6272,0.001000
4,1.3262,0.6186,0.6552,0.001000
5,1.2233,0.6473,0.6864,0.001000
6,1.1415,0.6674,0.7370,0.001000
7,1.0774,0.6834,0.7370,0.001000
8,1.0223,0.7019,0.7123,0.001000
9,0.9862,0.7091,0.7468,0.001000
10,0.9339,0.7194,0.7050,0.001000
11,0.9228,0.7257,0.7176,0.001000
12,0.9087,0.7311,0.7443,0.001000
13,0.8743,0.7393,0.7565,0.001000
14,0.8512,0.7450,0.7285,0.001000
15,0.8512,0.7459,0.7541,0.001000
16,0.8180,0.7529,0.7561,0.001000
17,0.8160,0.7543,0.7115,0.001000
18,0.8020,0.7580,0.7682,0.001000
19,0.7745,0.7657,0.7808,0.001000
20,0.7604,0.7694,0.7889,0.000500
21,0.6571,0.7992,0.8254,0.000500
22,0.6181,0.8084,0.8173,0.000500
23,0.6172,0.8070,0.8266,0.000500
24,0.5775,0.8222,0.8379,0.000500
25,0.5756,0.8198,0.8185,0.000500
26,0.5830,0.8182,0.8347,0.000500
27,0.5716,0.8181,0.8367,0.000500
28,0.5617,0.8275,0.8343,0.000500
29,0.5581,0.8275,0.8266,0.000500
30,0.5508,0.8245,0.8383,0.000500
31,0.5478,0.8288,0.8424,0.000500
32,0.5434,0.8307,0.8221,0.000500
33,0.5425,0.8291,0.8448,0.000500
34,0.5346,0.8301,0.8306,0.000500
35,0.5292,0.8331,0.8440,0.000500
36,0.5159,0.8346,0.8270,0.000500
37,0.5227,0.8351,0.8213,0.000500
38,0.5176,0.8367,0.8428,0.000500
39,0.5158,0.8356,0.8310,0.000500
40,0.5284,0.8348,0.8359,0.000250
41,0.4706,0.8514,0.8505,0.000250
42,0.4340,0.8616,0.8598,0.000250
43,0.4369,0.8574,0.8509,0.000250
44,0.4270,0.8655,0.8545,0.000250
45,0.4152,0.8668,0.8412,0.000250
46,0.4155,0.8650,0.8501,0.000250
47,0.4124,0.8662,0.8472,0.000250
48,0.4105,0.8658,0.8513,0.000250
49,0.3975,0.8715,0.8626,0.000250
50,0.3987,0.8689,0.8558,0.000250
